entity,year,value
United States,2015,56863
United States,2016,57904
United States,2017,59928
United States,2018,62641
United States,2019,65120
United States,2020,63416
United Kingdom,2015,41603
United Kingdom,2016,42330
United Kingdom,2017,43620
United Kingdom,2018,44117
United Kingdom,2019,45225
United Kingdom,2020,41059
Germany,2015,41313
Germany,2016,42161
Germany,2017,44470
Germany,2018,47603
Germany,2019,46259
Germany,2020,45724
France,2015,36248
France,2016,36857
France,2017,38606
France,2018,40494
France,2019,40494
France,2020,38625
Japan,2015,34524
Japan,2016,38917
Japan,2017,38428
Japan,2018,39290
Japan,2019,40247
Japan,2020,40113
